ID,Facility Name,Province,Facility Type,District,sub District
211,Lota,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
212,Madwaleni Hosp,Eastern Cape,District Hospital,Amathole DM,Mbhashe SD
213,Mahasana Clinic,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
214,Melitafa,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
215,Mpame Clinic,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
216,Mpozolo,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
217,Mqhele,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
218,Msendo,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
219,Nkanya,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
220,Nqabara,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
221,Nqabeni,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
222,Nqadu (Mbhashe),Eastern Cape,Clinic,Amathole DM,Mbhashe SD
223,Nyhwara,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
224,Qwaninga Clinc,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
225,Soga,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
226,Sundwana,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
227,Taleni,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
228,Vukukhanye Gateway,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
229,Willowvale CHC,Eastern Cape,Community Health Centre,Amathole DM,Mbhashe SD
230,Xhora CHC,Eastern Cape,Community Health Centre,Amathole DM,Mbhashe SD
231,Butterworth Gateway,Eastern Cape,Clinic,Amathole DM,Mnquma SD
232,Butterworth Hosp,Eastern Cape,District Hospital,Amathole DM,Mnquma SD
233,CL Bikitsha,Eastern Cape,Clinic,Amathole DM,Mnquma SD
234,Gcaleka,Eastern Cape,Clinic,Amathole DM,Mnquma SD
235,Gqunqe,Eastern Cape,Clinic,Amathole DM,Mnquma SD
236,Grainvalley,Eastern Cape,Clinic,Amathole DM,Mnquma SD
237,Hebe-Hebe,Eastern Cape,Clinic,Amathole DM,Mnquma SD
238,Highview,Eastern Cape,Clinic,Amathole DM,Mnquma SD
239,Ibika,Eastern Cape,Clinic,Amathole DM,Mnquma SD
240,Kotana,Eastern Cape,Clinic,Amathole DM,Mnquma SD
241,Macibe,Eastern Cape,Clinic,Amathole DM,Mnquma SD
242,Mnyibashe,Eastern Cape,Clinic,Amathole DM,Mnquma SD
243,Mqambeli,Eastern Cape,Clinic,Amathole DM,Mnquma SD
244,Ncizele,Eastern Cape,Clinic,Amathole DM,Mnquma SD
245,Ndabakazi,Eastern Cape,Clinic,Amathole DM,Mnquma SD
246,Ngqusi,Eastern Cape,Clinic,Amathole DM,Mnquma SD
247,Nozuko,Eastern Cape,Clinic,Amathole DM,Mnquma SD
248,Nqamakwe CHC,Eastern Cape,Community Health Centre,Amathole DM,Mnquma SD
249,Nqancule,Eastern Cape,Clinic,Amathole DM,Mnquma SD
250,Ntseshe,Eastern Cape,Clinic,Amathole DM,Mnquma SD
251,Qina,Eastern Cape,Clinic,Amathole DM,Mnquma SD
252,Qolora-By-Sea,Eastern Cape,Clinic,Amathole DM,Mnquma SD
253,Springs Clinic,Eastern Cape,Clinic,Amathole DM,Mnquma SD
254,Tafalofefe Gateway,Eastern Cape,Clinic,Amathole DM,Mnquma SD
255,Tafalofefe Hosp,Eastern Cape,District Hospital,Amathole DM,Mnquma SD
256,Tanga,Eastern Cape,Clinic,Amathole DM,Mnquma SD
257,Tutura,Eastern Cape,Clinic,Amathole DM,Mnquma SD
258,Tyali,Eastern Cape,Clinic,Amathole DM,Mnquma SD
259,Zazulwana,Eastern Cape,Clinic,Amathole DM,Mnquma SD
260,A Mandla,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
261,Adelaide Clinic,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
262,Adelaide Gateway,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
263,Adelaide Hosp,Eastern Cape,District Hospital,Amathole DM,Nkonkobe SD
264,Amathole Basin,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
265,Balfour Clinic,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
266,Bedford Clinic,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
267,Bedford Hosp,Eastern Cape,District Hospital,Amathole DM,Nkonkobe SD
268,Bezuidenhoutville,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
269,CC Lloyd,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
270,Debe Nek,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
271,Fort Beaufort Gatewa,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
272,Fort Beaufort Hosp,Eastern Cape,District Hospital,Amathole DM,Nkonkobe SD
273,Gilton,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
274,Gxwederha Clinic,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
275,Healdtown,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
276,Hillside (Nkonkobe),Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
277,Kolomana Clinic,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
278,L Regu,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
279,Lulama Kama,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
280,Melani,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
281,Mgwalana,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
282,Middledrift CHC,Eastern Cape,Community Health Centre,Amathole DM,Nkonkobe SD
283,Msobomvu,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
284,Mxhelo,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
285,Mzamomhle (Bed),Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
286,N Makhenyane,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
287,Newtown,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
288,Njwaxa,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
289,Perksdale,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
290,Qibira,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
291,Rwarwa,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
292,Seymour,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
293,Sheshegu,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
294,Thozamile Madakana,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
295,U Ncera,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
296,Victoria Gateway,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
297,Victoria Hosp,Eastern Cape,District Hospital,Amathole DM,Nkonkobe SD
298,War Mem Clinic,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
299,Washington,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
300,Zigodlo,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
301,Zihlahleni,Eastern Cape,Clinic,Amathole DM,Nkonkobe SD
302,Agnes Rest,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
303,Bengu,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
304,Boomplaas,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
305,Dordrecht Clinic,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
306,Dordrecht Hosp,Eastern Cape,District Hospital,Chris Hani DM,Emalahleni SD
307,Glen Grey Hosp,Eastern Cape,District Hospital,Chris Hani DM,Emalahleni SD
308,Guba,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
309,Hlala Uphilile,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
310,Indwe Hosp,Eastern Cape,District Hospital,Chris Hani DM,Emalahleni SD
311,Machubeni,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
312,Maqashu,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
313,Mcewula,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
314,Mhlanga,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
315,Mkapusi,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
316,Mt Arthur Clinic,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
317,Ndonga,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
318,Ngonyama CHC,Eastern Cape,Community Health Centre,Chris Hani DM,Emalahleni SD
319,Nompumelelo,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
320,Philani Gateway,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
321,Qoqodala,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
322,Queen Nonesi,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
323,Swartwater,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
324,Tsembeyi,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
325,Vaalbank,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
326,Xonxa,Eastern Cape,Clinic,Chris Hani DM,Emalahleni SD
327,Banzi,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
328,Bilatye,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
329,Bolotwa (Cofim),Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
330,Cofimvaba Hosp,Eastern Cape,District Hospital,Chris Hani DM,Intsika Yethu SD
331,Cwecweni,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
332,Gqogqora,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
333,Isikhoba,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
334,Keti,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
335,Kuyasa CHC,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
336,L Mncuncuzo,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
337,Lanti,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
338,Lower Seplan Clinic,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
339,Lubisi,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
340,Luthuli,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
341,Magwala,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
342,Mahlubini,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
343,Mawusheni,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
344,Mbulukweza,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
345,Mcambalala,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
346,Mtingwevu,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
347,Ncora,Eastern Cape,Clinic,Chris Hani DM,Intsika Yethu SD
